file_path,line_number,matched_phrase,classification,action_needed,line_text
README.md,24,certified,Safe / negated scope statement,No action needed.,"This project demonstrates a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL validation, or ISO 26262 compliance."
README.md,24,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This project demonstrates a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL validation, or ISO 26262 compliance."
README.md,24,production brake-by-wire,Safe / negated scope statement,No action needed.,"This project demonstrates a concept-level MBSE/RFLP and MATLAB/Simulink verification workflow. It does not claim production brake-by-wire validation, certified safety compliance, real sensor fusion, HIL/SIL validation, or ISO 26262 compliance."
README.md,485,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"The project still does not claim production brake-by-wire design, full AEB functionality, ISO 26262 compliance, ISO 21448/SOTIF compliance, HIL/SIL validation, real sensor fusion, or industrial MBSE completeness."
README.md,485,SOTIF compliance,Safe / negated scope statement,No action needed.,"The project still does not claim production brake-by-wire design, full AEB functionality, ISO 26262 compliance, ISO 21448/SOTIF compliance, HIL/SIL validation, real sensor fusion, or industrial MBSE completeness."
README.md,485,full AEB,Safe / negated scope statement,No action needed.,"The project still does not claim production brake-by-wire design, full AEB functionality, ISO 26262 compliance, ISO 21448/SOTIF compliance, HIL/SIL validation, real sensor fusion, or industrial MBSE completeness."
README.md,485,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project still does not claim production brake-by-wire design, full AEB functionality, ISO 26262 compliance, ISO 21448/SOTIF compliance, HIL/SIL validation, real sensor fusion, or industrial MBSE completeness."
README.md,981,certified,Safe / negated scope statement,No action needed.,"Scope note: the audit checks university-level project evidence only. It does not claim industrial completeness, certified safety compliance, ISO 26262 validation, SOTIF validation, HIL/SIL testing, or production brake-by-wire design."
README.md,981,production brake-by-wire,Safe / negated scope statement,No action needed.,"Scope note: the audit checks university-level project evidence only. It does not claim industrial completeness, certified safety compliance, ISO 26262 validation, SOTIF validation, HIL/SIL testing, or production brake-by-wire design."
README.md,996,production brake-by-wire,Safe / negated scope statement,No action needed.,"Scope note: this check verifies university-level project evidence and organization only. It does not certify industrial completeness, safety compliance, HIL/SIL validation, or production brake-by-wire design."
docs\02_black_box_analysis.md,9,production brake-by-wire,Safe / negated scope statement,No action needed.,"The objective is to keep the project aligned with a university-level concept-design workflow and to avoid overclaiming a production brake-by-wire or industrial MBSE implementation."
docs\03_requirements_quality_review.md,19,production brake-by-wire,Safe / negated scope statement,No action needed.,"| Scope-safe | The requirement does not overclaim production brake-by-wire, ISO 26262, SOTIF, or real sensor validation. |"
docs\03_rflp_architecture.md,13,production-ready,Safe / negated scope statement,No action needed.,"The project does not claim complete industrial MBSE implementation or production-ready brake-by-wire design."
docs\06_verification_plan.md,9,production brake-by-wire,Safe / negated scope statement,No action needed.,"It does not claim Simulink Test execution, hardware-in-the-loop validation, software-in-the-loop validation, ISO 26262 verification, or production brake-by-wire validation."
docs\07_traceability_links.md,91,certified,Safe / negated scope statement,No action needed.,"It does not claim a complete industrial model repository, full System Composer implementation, or certified requirements-management workflow."
docs\08_assumptions_and_limitations.md,41,complete AEB,Safe / negated scope statement,No action needed.,"| LIM-08 | No complete AEB system is claimed. | The project models emergency brake-request logic, not a production autonomous emergency braking stack. |"
docs\08_assumptions_and_limitations.md,51,production-ready,Safe / negated scope statement,No action needed.,"It does not claim to be a complete industrial MBSE implementation or a production-ready brake-by-wire system."
docs\10_engineering_decision_log.md,56,production brake-by-wire,Safe / negated scope statement,No action needed.,"The project focuses on emergency brake-request logic, not a production brake-by-wire system."
docs\10_engineering_decision_log.md,68,production-ready,Safe / negated scope statement,No action needed.,"It does not claim to be a complete industrial MBSE implementation or a production-ready brake-by-wire system."
docs\11_simple_risk_register.md,18,certification,Safe / negated scope statement,No action needed.,"| RISK-02 | Overclaiming production brake-by-wire design | High | Medium | Use concept-level wording and define limitations related to ECU, actuator dynamics, redundancy, diagnostics, and certification. | Controlled |"
docs\11_simple_risk_register.md,18,production brake-by-wire,Safe / negated scope statement,No action needed.,"| RISK-02 | Overclaiming production brake-by-wire design | High | Medium | Use concept-level wording and define limitations related to ECU, actuator dynamics, redundancy, diagnostics, and certification. | Controlled |"
docs\11_simple_risk_register.md,75,certification,Safe / negated scope statement,No action needed.,"This risk is controlled by using the phrase concept-level brake-by-wire emergency brake-request logic and by excluding production ECU design, redundancy, diagnostics, hydraulic backup, and safety certification."
docs\13_future_work_and_internship_extension.md,28,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, full autonomous driving, ISO 26262 compliance, SOTIF compliance, HIL/SIL validation, or real sensor fusion."
docs\13_future_work_and_internship_extension.md,28,SOTIF compliance,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, full autonomous driving, ISO 26262 compliance, SOTIF compliance, HIL/SIL validation, or real sensor fusion."
docs\13_future_work_and_internship_extension.md,28,production brake-by-wire,Safe / negated scope statement,No action needed.,"It does not claim production brake-by-wire design, full autonomous driving, ISO 26262 compliance, SOTIF compliance, HIL/SIL validation, or real sensor fusion."
docs\15_operational_design_domain.md,11,certification,Safe / negated scope statement,No action needed.,"It does not claim production AEB validation, real-world deployment, ISO 26262 compliance, SOTIF compliance, or industrial automated-driving certification."
docs\15_operational_design_domain.md,11,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"It does not claim production AEB validation, real-world deployment, ISO 26262 compliance, SOTIF compliance, or industrial automated-driving certification."
docs\15_operational_design_domain.md,11,SOTIF compliance,Safe / negated scope statement,No action needed.,"It does not claim production AEB validation, real-world deployment, ISO 26262 compliance, SOTIF compliance, or industrial automated-driving certification."
docs\15_operational_design_domain.md,124,certified,Safe / negated scope statement,No action needed.,"This is not a production actuator command and does not represent certified brake-by-wire control."
docs\15_operational_design_domain.md,124,certified brake-by-wire,Safe / negated scope statement,No action needed.,"This is not a production actuator command and does not represent certified brake-by-wire control."
docs\15_operational_design_domain.md,140,certification,Safe / negated scope statement,No action needed.,"| Functional safety certification | ISO 26262 and SOTIF compliance are not claimed. |"
docs\15_operational_design_domain.md,140,SOTIF compliance,Safe / negated scope statement,No action needed.,"| Functional safety certification | ISO 26262 and SOTIF compliance are not claimed. |"
docs\15_simulink_verification_model.md,46,certified,Safe / negated scope statement,No action needed.,"This is a concept-level Simulink verification model. It does not represent a production brake-by-wire system, real sensor fusion, certified safety logic, or hardware-level actuator control."
docs\15_simulink_verification_model.md,46,production brake-by-wire,Safe / negated scope statement,No action needed.,"This is a concept-level Simulink verification model. It does not represent a production brake-by-wire system, real sensor fusion, certified safety logic, or hardware-level actuator control."
docs\16_scenario_taxonomy.md,106,SOTIF compliance,Safe / negated scope statement,No action needed.,"It does not claim ISO 34502 compliance, ASAM OpenSCENARIO implementation, ASAM OpenODD implementation, SOTIF compliance, or production AEB validation."
docs\16_simulink_testing_validation.md,52,certified,Safe / negated scope statement,No action needed.,"This testing activity is scenario-based and concept-level. It does not represent certified safety validation, hardware-in-the-loop testing, production brake-by-wire validation, or ISO 26262 compliance."
docs\16_simulink_testing_validation.md,52,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This testing activity is scenario-based and concept-level. It does not represent certified safety validation, hardware-in-the-loop testing, production brake-by-wire validation, or ISO 26262 compliance."
docs\16_simulink_testing_validation.md,52,production brake-by-wire,Safe / negated scope statement,No action needed.,"This testing activity is scenario-based and concept-level. It does not represent certified safety validation, hardware-in-the-loop testing, production brake-by-wire validation, or ISO 26262 compliance."
docs\17_simulink_requirement_test_traceability.md,25,certified,Safe / negated scope statement,No action needed.,"This traceability is limited to concept-level Simulink verification. It does not claim production-level safety validation, hardware validation, certified brake-by-wire design, or ISO 26262 compliance."
docs\17_simulink_requirement_test_traceability.md,25,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This traceability is limited to concept-level Simulink verification. It does not claim production-level safety validation, hardware validation, certified brake-by-wire design, or ISO 26262 compliance."
docs\17_simulink_requirement_test_traceability.md,25,certified brake-by-wire,Safe / negated scope statement,No action needed.,"This traceability is limited to concept-level Simulink verification. It does not claim production-level safety validation, hardware validation, certified brake-by-wire design, or ISO 26262 compliance."
docs\17_stpa_lite_safety_analysis.md,9,certified,Safe / negated scope statement,No action needed.,"This is not a full industrial STPA study and does not claim ISO 26262 compliance SOTIF compliance HARA FMEA or certified safety validation."
docs\17_stpa_lite_safety_analysis.md,9,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This is not a full industrial STPA study and does not claim ISO 26262 compliance SOTIF compliance HARA FMEA or certified safety validation."
docs\17_stpa_lite_safety_analysis.md,9,SOTIF compliance,Safe / negated scope statement,No action needed.,"This is not a full industrial STPA study and does not claim ISO 26262 compliance SOTIF compliance HARA FMEA or certified safety validation."
docs\17_stpa_lite_safety_analysis.md,153,production-ready,Safe / negated scope statement,No action needed.,"It does not claim to be a complete industrial MBSE implementation or a production-ready brake-by-wire system."
docs\18_before_after_simulink_testing_phase.md,49,certified,Safe / negated scope statement,No action needed.,"This testing phase remains concept-level and scenario-based. It does not claim production brake-by-wire validation, hardware-in-the-loop testing, real sensor validation, certified safety compliance, or ISO 26262 verification."
docs\18_before_after_simulink_testing_phase.md,49,production brake-by-wire,Safe / negated scope statement,No action needed.,"This testing phase remains concept-level and scenario-based. It does not claim production brake-by-wire validation, hardware-in-the-loop testing, real sensor validation, certified safety compliance, or ISO 26262 verification."
docs\18_robustness_and_sensitivity_analysis.md,11,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"It does not claim production validation, formal statistical safety assurance, ISO 26262 compliance, SOTIF compliance, HIL testing, or SIL testing."
docs\18_robustness_and_sensitivity_analysis.md,11,SOTIF compliance,Safe / negated scope statement,No action needed.,"It does not claim production validation, formal statistical safety assurance, ISO 26262 compliance, SOTIF compliance, HIL testing, or SIL testing."
docs\19_simulink_test_manager_result.md,35,certified,Safe / negated scope statement,No action needed.,"This is a concept-level Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, or ISO 26262 compliance."
docs\19_simulink_test_manager_result.md,35,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This is a concept-level Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, or ISO 26262 compliance."
docs\19_simulink_test_manager_result.md,35,production brake-by-wire,Safe / negated scope statement,No action needed.,"This is a concept-level Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, or ISO 26262 compliance."
docs\19_verification_coverage_metrics.md,9,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This is a university-level coverage analysis and does not claim industrial validation, ISO 26262 compliance, SOTIF compliance, HIL testing, or SIL testing."
docs\19_verification_coverage_metrics.md,9,SOTIF compliance,Safe / negated scope statement,No action needed.,"This is a university-level coverage analysis and does not claim industrial validation, ISO 26262 compliance, SOTIF compliance, HIL testing, or SIL testing."
docs\20_parameterized_scenario_testing.md,166,SOTIF compliance,Safe / negated scope statement,No action needed.,"It is inspired by modern scenario-based verification practices but does not claim ISO 34502 compliance, ASAM OpenSCENARIO implementation, ASAM OpenODD implementation, SOTIF compliance, or production AEB validation."
docs\20_simulink_test_manager_all_scenarios.md,36,certified,Safe / negated scope statement,No action needed.,"This is a concept-level Simulink Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, real sensor validation, or ISO 26262 compliance."
docs\20_simulink_test_manager_all_scenarios.md,36,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"This is a concept-level Simulink Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, real sensor validation, or ISO 26262 compliance."
docs\20_simulink_test_manager_all_scenarios.md,36,production brake-by-wire,Safe / negated scope statement,No action needed.,"This is a concept-level Simulink Test Manager execution. It does not represent production brake-by-wire validation, HIL testing, certified safety validation, real sensor validation, or ISO 26262 compliance."
docs\21_requirements_not_fully_tested_justification.md,29,certified,Safe / negated scope statement,No action needed.,"| ISO 26262 compliance | No formal safety lifecycle or safety case is developed | The project does not claim certified safety compliance |"
docs\21_requirements_not_fully_tested_justification.md,29,ISO 26262 compliance,Safe / negated scope statement,No action needed.,"| ISO 26262 compliance | No formal safety lifecycle or safety case is developed | The project does not claim certified safety compliance |"
