item_id,course_mandatory_item,evidence_file,exists,current_status,missing_evidence,action_needed
CA-01,"Project overview, need, mission, and scope",README.md,1,Closed,None,No action needed.
CA-02,"Requirements definition",data/requirements.csv,1,Closed,None,No action needed.
CA-03,"Scenario definition",data/scenarios.csv,1,Closed,None,No action needed.
CA-04,"Black Box system context",figures/system_context_diagram.png,1,Closed,None,No action needed.
CA-05,"Black Box external interface definition",figures/external_interface_diagram.png,1,Closed,None,No action needed.
CA-06,"Black Box services / use-case definition",figures/services_use_case_diagram.png,1,Closed,None,No action needed.
CA-07,"Operating modes / warning-state logic",figures/operating_modes_diagram.png,1,Closed,None,No action needed.
CA-08,"Lifecycle / workflow representation",figures/lifecycle_diagram.png,1,Closed,None,No action needed.
CA-09,"Concept generation summary",figures/concept_generation_summary.png,1,Closed,None,No action needed.
CA-10,"Concept screening matrix",figures/actuator_concept_screening_matrix.png,1,Closed,None,No action needed.
CA-11,"Concept scoring matrix",figures/actuator_concept_scoring_matrix.png,1,Closed,None,No action needed.
CA-12,"White Box functional decomposition",data/white_box_functional_decomposition.csv; figures/white_box_functional_decomposition.png,1,Closed,None,No action needed.
CA-13,"White Box logical architecture",data/white_box_logical_architecture.csv; figures/white_box_logical_architecture.png,1,Closed,None,No action needed.
CA-14,"White Box physical allocation",data/white_box_physical_allocation.csv; figures/white_box_physical_allocation.png,1,Closed,None,No action needed.
CA-15,"White Box traceability chain",data/white_box_traceability_matrix.csv; figures/white_box_traceability_chain.png,1,Closed,None,No action needed.
CA-16,"MATLAB / Simulink implementation evidence",models/urban_ev_bbw_warning_logic_test_validation.slx,1,Closed,None,No action needed.
CA-17,"Simulink Test Manager evidence",UrbanEV_BBW_All_Scenarios_Test_Manager_v2.mldatx,1,Closed,None,No action needed.
CA-18,"Scenario-based result evidence",results/simulink_test_validation_results.csv,1,Closed,None,No action needed.
CA-19,"Requirement-to-test traceability result",results/simulink_requirement_test_traceability.csv,1,Closed,None,No action needed.
CA-20,"Final presentation slide plan",docs/25_final_presentation_slide_plan.md,1,Closed,None,No action needed.
CA-21,"Final presentation speaker script",docs/26_final_presentation_speaker_script.md,1,Closed,None,No action needed.
CA-22,"Final presentation Q&A support",docs/29_final_presentation_q_and_a.md,1,Closed,None,No action needed.
